team_id,game,date_str,time,type,site,opp,conf,srs,team_result,team_pts,opp_pts,ot,win_num,loss_num,streak,arena
7,20,Wed Jan 24 2024,7:00p,REG,,Maryland,Big Ten,22.6,W,79,77,OT,14,6,W 2,Crisler Center
7,21,Sat Jan 27 2024,12:00p,REG,@,Michigan State,Big Ten,28.21,L,61,82,,14,7,L 1,Breslin Student Events Center
7,22,Wed Jan 31 2024,7:00p,REG,,Illinois,Big Ten,19.38,L,64,77,,14,8,L 2,Crisler Center
7,23,Sat Feb 3 2024,6:00p,REG,@,Penn State,Big Ten,25.4,W,80,75,,15,8,W 1,Bryce Jordan Center
7,24,Tue Feb 6 2024,7:00p,REG,,Nebraska,Big Ten,22.52,L,59,65,,15,9,L 1,Crisler Center
7,25,Sat Feb 10 2024,2:00p,REG,,Rutgers,Big Ten,3.79,W,86,58,,16,9,W 1,Crisler Center
7,26,Thu Feb 15 2024,8:00p,REG,@,Iowa (4),Big Ten,37.03,L,89,106,,16,10,L 1,Carver-Hawkeye Arena
7,27,Sun Feb 18 2024,12:00p,REG,,Michigan State,Big Ten,28.21,L,66,70,,16,11,L 2,Crisler Center
7,28,Sat Feb 24 2024,3:00p,REG,@,Northwestern,Big Ten,-0.22,W,74,60,,17,11,W 1,Welsh-Ryan Arena
7,29,Wed Feb 28 2024,7:00p,REG,@,Ohio State (2),Big Ten,34.28,L,51,67,,17,12,L 1,Value City Arena
7,30,Sun Mar 3 2024,7:00p,REG,,Purdue,Big Ten,14.46,W,64,60,,18,12,W 1,Crisler Center
7,31,Thu Mar 7 2024,9:00p,REG,N,,,,,,,,,,,Target Center
8,1,Tue Nov 7 2023,6:00p,REG,,Bucknell,Patriot,-12.13,W,94,51,,1,0,W 1,Bryce Jordan Center
8,2,Fri Nov 10 2023,5:00p,REG,,Navy,Patriot,-16.69,W,107,44,,2,0,W 2,Bryce Jordan Center
8,3,Mon Nov 13 2023,6:00p,REG,,Kansas,Big 12,20.46,W,91,85,,3,0,W 3,Bryce Jordan Center
8,4,Thu Nov 16 2023,7:00p,REG,@,St. John's (NY),Big East,9.5,W,69,53,,4,0,W 4,Carnesecca Arena
8,5,Mon Nov 20 2023,6:30p,REG,N,Oklahoma State,Big 12,17.76,W,89,80,,5,0,W 5,Baha Mar Convention Center
8,6,Wed Nov 22 2023,9:00p,REG,N,Southern California (8),Pac-12,30.17,L,70,71,,5,1,L 1,Baha Mar Convention Center
8,7,Sun Nov 26 2023,1:00p,REG,,Providence,Big East,5,W,73,66,,6,1,W 1,Bryce Jordan Center
